movement_id,posted_date,wine_id,movement,bottles,unit_price,supplier,vintage,reference
M-1102,2025-01-11,W-24,RECEIPT,36,28.25,Loire Direct,2023,
M-1107,2025-02-15,W-11,RECEIPT,36,18.75,Tuscan Vines,2021,
M-1110,2025-02-15,W-22,SALE,9,59.72,,,
M-1111,2025-02-16,W-18,SALE,16,59.74,,,
M-1115,2025-02-17,W-25,RECEIPT,12,70.30,Douro Trading,NV,
M-1118,2025-02-20,W-01,SALE,19,18.41,,,
M-1122,2025-02-20,W-18,CUSTOMER_RETURN,3,,,,M-1070
M-1123,2025-02-20,W-22,SALE,6,59.88,,,
M-1127,2025-02-21,W-16,RECEIPT,12,12.90,Mosel Handel,2019,
M-1130,2025-02-23,W-17,SALE,15,18.49,,,
M-1132,2025-02-25,W-20,SALE,5,32.07,,,
M-1135,2025-01-24,W-05,RECEIPT,12,34.15,Napa Ridge Imports,2020,
M-1138,2025-02-27,W-10,SALE,6,21.68,,,
M-1143,2025-02-27,W-21,RECEIPT,36,24.25,Napa Ridge Imports,2019,
M-1146,2025-02-28,W-31,SALE,7,71.33,,,
M-1147,2025-03-01,W-04,RECEIPT,24,9.31,Reims Cellars,2026,
M-1151,2025-03-01,W-15,SALE,8,10.08,,,
M-1153,2025-02-14,W-24,RECEIPT,48,29.96,Loire Direct,2020,
M-1157,2025-03-02,W-25,RECEIPT,36,73.50,Douro Trading,2020,
M-1160,2025-03-03,W-05,SALE,20,34.25,,,
M-1162,2025-03-05,W-09,SALE,15,19.28,,,
M-1166,2025-03-05,W-20,SALE,3,32.24,,,
M-1170,2025-03-06,W-08,SALE,5,17.26,,,
M-1171,2025-03-06,W-16,SALE,2,17.77,,,
M-1176,2025-03-06,W-30,SALE,8,58.06,,,
M-1178,2025-02-10,W-32,RECEIPT,48,38.50,Napa Ridge Imports,2018,
M-1180,2025-03-08,W-32,RECEIPT,18,41.08,Napa Ridge Imports,2021,
M-1185,2025-03-14,W-12,SALE,3,47.56,,,
M-1187,2025-03-15,W-32,RECEIPT,36,42.35,Napa Ridge Imports,2023,
M-1191,2025-03-16,W-12,SALE,9,48.01,,,
M-1193,2025-03-16,W-26,SALE,5,15.94,,,
M-1196,2025-03-17,W-13,SALE,10,7.43,,,
M-1198,2025-03-03,W-25,WRITE_OFF,2,,,,
M-1202,2025-03-18,W-16,RECEIPT,48,13.51,Mosel Handel,2022,
M-1206,2025-03-18,W-33,RECEIPT,24,8.40,Rioja Direct,2000,
M-1209,2025-02-16,W-29,RECEIPT,24,17.05,Rioja Direct,2023,
M-1210,2025-03-09,W-03,RECEIPT,48,16.90,Willamette Partners,2020,
M-1215,2025-03-19,W-05,SALE,15,34.04,,,
M-1217,2025-03-19,W-34,SALE,10,11.34,,,
M-1221,2025-03-20,W-08,SALE,1,17.85,,,
M-1222,2025-03-20,W-24,SALE,16,29.29,,,
M-1225,2025-03-20,W-32,SALE,6,47.00,,,
M-1229,2025-03-21,W-11,SALE,12,22.33,,,
M-1231,2025-03-22,W-26,SALE,1,16.03,,,
M-1236,2025-02-22,W-23,RECEIPT,36,33.00,Rioja Direct,2019,
M-1237,2025-03-23,W-23,SALE,16,37.12,,,
M-1242,2025-03-25,W-01,RECEIPT,24,16.90,Napa Ridge Imports,2022,
M-1245,2025-03-25,W-03,SALE,15,17.39,,,
M-1248,2025-03-27,W-07,RECEIPT,36,33.25,Tuscan Vines,2020,
M-1250,2025-03-27,W-25,SUPPLIER_RETURN,4,,,,M-1157
M-1254,2025-03-27,W-29,SALE,12,23.59,,,
M-1256,2025-03-29,W-06,SALE,6,10.22,,,
M-1258,2025-03-31,W-18,SALE,11,60.54,,,
M-1263,2025-03-04,W-10,WRITE_OFF,1,,,,
M-1265,2025-04-01,W-25,RECEIPT,24,77.00,Douro Trading,NV,
M-1268,2025-03-12,W-30,RECEIPT,12,55.25,Barossa Exports,2022,
M-1271,2025-04-02,W-01,SALE,24,22.39,,,
M-1275,2025-04-03,W-30,SALE,5,59.62,,,
M-1278,2025-04-04,W-06,RECEIPT,18,10.40,Mosel Handel,2020,
M-1279,2025-04-06,W-07,SALE,20,40.72,,,
M-1282,2025-04-06,W-09,SALE,22,19.50,,,
M-1285,2025-03-27,W-12,RECEIPT,36,45.25,Loire Direct,2019,
M-1290,2025-04-08,W-05,SALE,18,35.99,,,
M-1293,2025-04-08,W-15,SALE,10,9.65,,,
M-1294,2025-04-08,W-22,SALE,9,59.33,,,
M-1298,2025-04-09,W-01,RECEIPT,48,17.71,Napa Ridge Imports,2022,
M-1302,2025-04-10,W-25,SALE,24,86.21,,,
M-1303,2025-04-11,W-27,SALE,8,32.10,,,
M-1308,2025-04-11,W-32,RECEIPT,18,44.58,Napa Ridge Imports,2023,
M-1309,2025-04-13,W-05,SALE,19,39.05,,,
M-1314,2025-04-13,W-12,SALE,7,56.76,,,
M-1316,2025-04-13,W-34,SALE,12,11.64,,,
M-1320,2025-03-27,W-14,RECEIPT,24,17.59,Douro Trading,NV,
M-1321,2025-04-15,W-33,SALE,8,11.57,,,
M-1326,2025-03-31,W-27,WRITE_OFF,1,,,,
M-1327,2025-04-16,W-06,SALE,18,14.56,,,
M-1330,2025-04-16,W-32,SALE,14,46.65,,,
M-1335,2025-04-19,W-22,RECEIPT,36,59.19,Mendoza Andes SA,2022,
M-1337,2025-04-20,W-35,SALE,5,16.26,,,
M-1339,2025-04-21,W-10,RECEIPT,36,15.52,Barossa Exports,2020,
M-1342,2025-04-21,W-16,SALE,13,17.70,,,
M-1346,2025-04-23,W-28,SALE,19,23.75,,,
M-1348,2025-04-23,W-35,SALE,8,16.13,,,
M-1353,2025-04-29,W-21,SALE,17,26.74,,,
M-1356,2025-05-01,W-01,SUPPLIER_RETURN,6,,,,M-1298
M-1358,2025-05-01,W-08,RECEIPT,12,16.00,Rioja Direct,2023,
M-1362,2025-05-02,W-35,SALE,1,16.12,,,
M-1364,2025-05-03,W-12,SALE,8,57.10,,,
M-1367,2025-05-04,W-24,SALE,7,30.07,,,
M-1371,2025-05-05,W-02,SALE,15,9.92,,,
M-1372,2025-05-05,W-04,SALE,22,13.92,,,
M-1377,2025-05-07,W-30,CUSTOMER_RETURN,2,,,,M-1275
M-1378,2025-05-09,W-07,SALE,18,43.71,,,
M-1383,2025-05-09,W-15,SALE,4,10.84,,,
M-1386,2025-05-10,W-33,CUSTOMER_RETURN,1,,,,M-1321
M-1388,2025-04-08,W-21,RECEIPT,24,25.46,Napa Ridge Imports,2020,
M-1392,2025-05-12,W-03,SALE,6,17.86,,,
M-1395,2025-05-12,W-25,SALE,27,87.43,,,
M-1397,2025-05-12,W-28,RECEIPT,18,21.80,Bordeaux Negoce,2026,
M-1399,2025-05-13,W-02,RECEIPT,18,9.50,Bordeaux Negoce,2026,
M-1404,2025-05-13,W-17,SALE,16,19.08,,,
M-1406,2025-05-13,W-26,SALE,1,16.63,,,
M-1409,2025-05-14,W-04,SALE,13,14.31,,,
M-1411,2025-05-14,W-08,SALE,5,17.29,,,
M-1414,2025-05-14,W-16,CUSTOMER_RETURN,2,,,,M-1342
M-1417,2025-05-14,W-18,SALE,12,62.03,,,
M-1421,2025-05-14,W-26,RECEIPT,48,16.30,Cape Winelands Ltd,2022,
M-1425,2025-05-15,W-04,SALE,11,14.78,,,
M-1428,2025-05-15,W-34,RECEIPT,24,11.90,Bordeaux Negoce,2027,
M-1429,2025-05-16,W-03,SALE,8,20.34,,,
M-1434,2025-05-16,W-29,SALE,5,23.83,,,
M-1437,2025-04-16,W-22,RECEIPT,48,56.40,Mendoza Andes SA,2019,
M-1440,2025-05-18,W-15,SALE,9,11.13,,,
M-1443,2025-05-20,W-32,SUPPLIER_RETURN,4,,,,M-1308
M-1446,2025-05-21,W-08,SALE,11,20.83,,,
M-1449,2025-05-21,W-21,SALE,18,26.43,,,
M-1451,2025-05-22,W-30,RECEIPT,18,58.01,Cape Winelands Ltd,2022,
M-1454,2025-05-22,W-32,SALE,17,46.56,,,
M-1458,2025-05-23,W-21,RECEIPT,12,27.32,Napa Ridge Imports,2025,
M-1459,2025-05-23,W-24,SALE,14,32.56,,,
M-1464,2025-05-24,W-31,SALE,11,71.33,,,
M-1466,2025-05-24,W-32,SALE,6,47.01,,,
M-1469,2025-05-25,W-24,SALE,19,35.97,,,
M-1471,2025-05-27,W-08,CUSTOMER_RETURN,3,,,,M-1446
M-1476,2025-05-30,W-02,RECEIPT,18,9.98,Bordeaux Negoce,2026,
M-1478,2025-05-30,W-20,SALE,1,32.52,,,
M-1482,2025-05-30,W-24,SALE,15,36.35,,,
M-1483,2025-06-01,W-26,RECEIPT,36,17.45,Cape Winelands Ltd,2023,
M-1487,2025-06-02,W-17,SALE,14,19.68,,,
M-1490,2025-06-02,W-23,SALE,13,39.58,,,
M-1494,2025-06-03,W-06,RECEIPT,48,10.54,Mosel Handel,2020,
M-1495,2025-06-04,W-24,SALE,15,38.93,,,
M-1499,2025-06-04,W-33,SALE,21,11.71,,,
M-1502,2025-06-05,W-32,SALE,11,48.82,,,
M-1505,2025-06-06,W-01,SALE,25,23.33,,,
M-1507,2025-06-07,W-28,RECEIPT,48,22.58,Bordeaux Negoce,2026,
M-1512,2025-06-09,W-17,RECEIPT,24,18.25,Bordeaux Negoce,2026,
M-1514,2025-06-09,W-26,SUPPLIER_RETURN,6,,,,M-1483
M-1518,2025-06-09,W-31,SALE,13,71.52,,,
M-1521,2025-06-10,W-11,RECEIPT,12,19.99,Tuscan Vines,NV,
M-1522,2025-06-11,W-02,RECEIPT,36,10.45,Bordeaux Negoce,2026,
M-1527,2025-06-12,W-22,SALE,19,71.49,,,
M-1528,2025-06-13,W-33,RECEIPT,48,9.45,Rioja Direct,2020,
M-1532,2025-06-15,W-17,CUSTOMER_RETURN,1,,,,M-1404
M-1536,2025-06-16,W-03,RECEIPT,24,17.36,Willamette Partners,2018,
M-1538,2025-06-16,W-34,SALE,9,15.30,,,
M-1540,2025-06-17,W-05,RECEIPT,48,35.82,Napa Valley Co,2019,
M-1543,2025-06-18,W-21,SALE,16,31.29,,,
M-1548,2025-06-18,W-27,SALE,2,31.22,,,
M-1551,2025-06-20,W-28,SALE,20,24.29,,,
M-1553,2025-06-21,W-23,SALE,25,42.69,,,
M-1555,2025-06-21,W-32,SALE,6,50.64,,,
M-1558,2025-06-22,W-11,SALE,18,24.89,,,
M-1562,2025-06-02,W-21,RECEIPT,48,28.54,Napa Ridge Imports,2023,
M-1565,2025-06-23,W-23,RECEIPT,24,34.95,Rioja Direct ,2019,
M-1569,2025-06-24,W-03,RECEIPT,18,18.52,Willamette Partners,2018,
M-1571,2025-06-25,W-30,SALE,4,64.55,,,
M-1573,2025-06-11,W-07,RECEIPT,48,35.56,Tuscan Vines,2019,
M-1576,2025-06-26,W-28,SALE,20,29.48,,,
M-1580,2025-06-28,W-15,CUSTOMER_RETURN,1,,,,M-1440
M-1584,2025-06-29,W-16,SALE,8,17.98,,,
M-1586,2025-07-01,W-03,SALE,11,23.01,,,
M-1590,2025-07-01,W-19,SALE,13,35.34,,,
M-1592,2025-07-03,W-03,SUPPLIER_RETURN,5,,,,M-1569
M-1596,2025-07-03,W-09,RECEIPT,18,18.00,Douro Trading,2019,
M-1598,2025-07-03,W-29,SALE,7,23.73,,,
M-1601,2025-07-04,W-19,SALE,16,37.62,,,
M-1603,2025-07-06,W-06,SALE,18,14.31,,,
M-1606,2025-07-06,W-16,SALE,8,18.87,,,
M-1610,2025-07-07,W-10,SALE,10,21.89,,,
M-1612,2025-06-09,W-25,RECEIPT,36,80.80,Douro Trading,NV,
M-1617,2025-07-01,W-13,RECEIPT,12,7.35,Tuscan Vines,2021,
M-1618,2025-07-10,W-05,SALE,18,44.81,,,
M-1622,2025-07-10,W-10,SALE,6,21.57,,,
M-1624,2025-06-19,W-28,RECEIPT,36,23.95,Bordeaux Negoce,2026,
M-1629,2025-06-25,W-27,RECEIPT,24,25.72,Tuscan Vines,2026,
M-1630,2025-07-13,W-07,SALE,31,46.68,,,
M-1635,2025-07-13,W-34,RECEIPT,18,12.11,Bordeaux Negoce,2026,
M-1637,2025-07-15,W-24,RECEIPT,12,31.38,Loire Direct,NV,
M-1641,2025-07-15,W-26,SALE,18,22.26,,,
M-1644,2025-07-05,W-01,RECEIPT,36,18.18,Napa Ridge Imports,2021,
M-1646,2025-07-16,W-35,SALE,5,16.06,,,
M-1648,2025-07-19,W-32,CUSTOMER_RETURN,3,,,,M-1502
M-1653,2025-07-20,W-06,RECEIPT,48,11.38,Mosel Handel,2019,
M-1654,2025-07-20,W-15,WRITE_OFF,1,,,,
M-1658,2025-07-22,W-28,SALE,18,30.51,,,
M-1660,2025-06-19,W-13,RECEIPT,18,7.65,Tuscan Vines ,2018,
M-1663,2025-07-24,W-28,SALE,17,30.34,,,
M-1667,2025-07-26,W-16,SALE,10,18.69,,,
M-1671,2025-07-26,W-18,RECEIPT,48,47.78,Left Bank Brokers,2026,
M-1673,2025-07-27,W-17,RECEIPT,24,19.81,Bordeaux Negoce,2026,
M-1676,2025-07-27,W-20,RECEIPT,18,29.15,Mosel Handel,NV,
M-1679,2025-07-30,W-21,SALE,12,31.75,,,
M-1683,2025-07-31,W-29,RECEIPT,48,17.89,Rioja Direct,NV,
M-1686,2025-08-01,W-31,SALE,13,70.75,,,
M-1687,2025-08-01,W-33,SALE,13,13.10,,,
M-1690,2025-08-03,W-28,SALE,19,31.12,,,
M-1695,2025-07-12,W-15,RECEIPT,12,8.92,Rioja Direct,2022,
M-1697,2025-08-04,W-03,SALE,4,21.99,,,
M-1700,2025-08-04,W-19,CUSTOMER_RETURN,2,,,,M-1601
M-1702,2025-08-05,W-20,RECEIPT,18,30.22,Mosel Handel,NV,
M-1705,2025-07-03,W-04,RECEIPT,24,9.72,Reims Cellars,2022,
M-1709,2025-08-07,W-02,SALE,28,9.98,,,
M-1713,2025-08-07,W-13,RECEIPT,18,8.35,Tuscan Vines,2021,
M-1714,2025-08-07,W-23,SALE,16,43.46,,,
M-1717,2025-08-07,W-27,SALE,9,32.71,,,
M-1721,2025-07-10,W-08,RECEIPT,12,17.45,Rioja Direct,2020,
M-1725,2025-08-08,W-11,SALE,6,24.53,,,
M-1728,2025-08-09,W-02,RECEIPT,18,11.22,Bordeaux Negoce,2026,
M-1730,2025-08-12,W-31,SALE,3,73.30,,,
M-1732,2025-08-13,W-14,SALE,19,22.72,,,
M-1735,2025-08-13,W-30,RECEIPT,36,60.78,Cape Winelands Ltd,2020,
M-1739,2025-08-13,W-32,SALE,11,49.19,,,
M-1743,2025-08-14,W-05,RECEIPT,36,38.82,Napa Ridge Imports,2022,
M-1744,2025-08-14,W-18,RECEIPT,12,50.05,Bordeaux Negoce,2026,
M-1748,2025-08-15,W-30,SALE,11,67.88,,,
M-1751,2025-08-16,W-04,SUPPLIER_RETURN,5,,,,M-1705
M-1753,2025-08-16,W-09,SALE,12,24.30,,,
M-1757,2025-07-19,W-28,RECEIPT,24,25.02,Bordeaux Negoce,2026,
M-1759,2025-08-18,W-23,SALE,17,46.31,,,
M-1763,2025-08-19,W-33,SALE,16,13.24,,,
M-1765,2025-08-20,W-32,SALE,15,51.34,,,
M-1768,2025-08-22,W-08,RECEIPT,18,17.90,Rioja Direct,2023,
M-1771,2025-08-24,W-02,CUSTOMER_RETURN,1,,,,M-1709
M-1775,2025-08-24,W-12,RECEIPT,18,47.51,Loire Direct,2022,
M-1777,2025-08-25,W-27,CUSTOMER_RETURN,2,,,,M-1717
M-1780,2025-08-26,W-20,SALE,6,38.53,,,
M-1783,2025-08-26,W-22,SALE,14,71.46,,,
M-1787,2025-08-29,W-14,SALE,20,24.19,,,
M-1791,2025-08-30,W-03,SALE,12,22.26,,,
M-1792,2025-08-30,W-15,SALE,14,12.44,,,
M-1796,2025-08-30,W-16,RECEIPT,12,13.48,Mosel Handel,2023,
M-1800,2025-08-30,W-20,SALE,11,39.04,,,
M-1803,2025-09-01,W-05,WRITE_OFF,2,,,,
M-1805,2025-09-01,W-22,SALE,10,71.42,,,
M-1809,2025-09-02,W-17,WRITE_OFF,1,,,,
M-1811,2025-09-02,W-31,RECEIPT,18,58.31,Tuscan Vines,NV,
M-1815,2025-09-03,W-23,RECEIPT,48,36.60,Rioja Direct,2018,
M-1818,2025-09-04,W-17,SALE,7,23.28,,,
M-1820,2025-09-04,W-23,CUSTOMER_RETURN,3,,,,M-1714
M-1824,2025-09-04,W-25,SALE,13,91.00,,,
M-1825,2025-09-04,W-26,SALE,16,22.34,,,
M-1828,2025-09-06,W-30,SUPPLIER_RETURN,5,,,,M-1735
M-1831,2025-08-09,W-05,RECEIPT,18,37.50,Napa Ridge Imports,2022,
M-1836,2025-09-08,W-04,SALE,19,14.91,,,
M-1837,2025-09-08,W-08,SALE,2,21.03,,,
M-1842,2025-09-08,W-19,RECEIPT,12,35.82,Left Bank Brokers,2019,
M-1845,2025-09-08,W-22,RECEIPT,12,61.62,mendoza andes sa,2021,
M-1848,2025-09-10,W-05,SUPPLIER_RETURN,6,,,,M-1831
M-1851,2025-09-10,W-15,SALE,9,12.74,,,
M-1854,2025-09-12,W-12,SALE,5,56.73,,,
M-1857,2025-08-11,W-09,RECEIPT,18,19.20,Douro Trading,NV,
M-1859,2025-09-13,W-09,SALE,21,24.92,,,
M-1861,2025-09-13,W-22,SUPPLIER_RETURN,5,,,,M-1845
M-1864,2025-09-14,W-08,SALE,11,22.33,,,
M-1869,2025-09-14,W-11,SALE,12,25.01,,,
M-1871,2025-09-15,W-35,SALE,8,16.66,,,
M-1873,2025-09-16,W-34,SALE,14,16.54,,,
M-1878,2025-09-17,W-06,SALE,21,14.63,,,
M-1880,2025-09-17,W-14,RECEIPT,18,18.42,Douro Trading,NV,
M-1883,2025-09-17,W-17,RECEIPT,18,20.08,Bordeaux Negoce,2026,
M-1887,2025-09-18,W-31,SALE,7,73.96,,,
M-1888,2025-09-18,W-32,SALE,10,51.85,,,
M-1891,2025-09-19,W-29,RECEIPT,18,18.42,Rioja Direct,2018,
M-1895,2025-09-20,W-33,RECEIPT,36,9.20,Rioja Direct,2019,
M-1898,2025-09-21,W-18,SUPPLIER_RETURN,4,,,,M-1744
M-1901,2025-09-21,W-31,SUPPLIER_RETURN,4,,,,M-1811
M-1905,2025-09-23,W-09,SUPPLIER_RETURN,3,,,,M-1857
M-1907,2025-09-23,W-35,SALE,9,17.82,,,
M-1910,2025-09-24,W-05,SALE,14,44.50,,,
M-1912,2025-09-24,W-16,SALE,6,18.16,,,
M-1917,2025-09-25,W-12,SALE,15,55.92,,,
M-1918,2025-09-25,W-21,SALE,13,30.67,,,
M-1923,2025-09-25,W-24,SALE,6,37.91,,,
M-1926,2025-09-25,W-34,SALE,13,17.28,,,
M-1929,2025-09-04,W-01,RECEIPT,48,18.69,Napa Ridge Imports,2020,
M-1932,2025-09-26,W-10,SALE,15,22.96,,,
M-1935,2025-09-26,W-30,SALE,12,73.49,,,
M-1938,2025-09-28,W-17,SALE,11,24.14,,,
M-1939,2025-09-28,W-19,SALE,16,42.54,,,
M-1944,2025-09-28,W-20,SALE,10,39.26,,,
M-1945,2025-10-01,W-19,SALE,12,46.29,,,
M-1950,2025-10-01,W-30,SALE,3,71.86,,,
M-1952,2025-10-02,W-07,SALE,16,49.31,,,
M-1956,2025-10-02,W-31,CUSTOMER_RETURN,1,,,,M-1887
M-1959,2025-09-10,W-04,RECEIPT,48,10.14,Reims Cellars,2019,
M-1962,2025-10-03,W-08,SALE,12,24.15,,,
M-1964,2025-10-04,W-22,SALE,15,74.85,,,
M-1968,2025-09-25,W-29,RECEIPT,36,19.26,Rioja Direct,NV,
M-1969,2025-10-06,W-29,SUPPLIER_RETURN,5,,,,M-1968
M-1974,2025-10-07,W-20,SALE,7,40.03,,,
M-1976,2025-10-08,W-22,CUSTOMER_RETURN,1,,,,M-1964
M-1979,2025-09-01,W-34,RECEIPT,12,12.38,Bordeaux Negoce,2026,
M-1981,2025-10-09,W-11,RECEIPT,36,21.28,Tuscan Vines,2021,
M-1986,2025-10-10,W-04,SALE,12,15.67,,,
M-1988,2025-10-10,W-27,SALE,5,31.48,,,
M-1992,2025-10-11,W-06,SALE,17,14.99,,,
M-1995,2025-10-12,W-19,RECEIPT,36,37.15,Bordeaux Negoce,2019,
M-1997,2025-10-12,W-20,RECEIPT,18,31.35,Mosel Handel,2020,
M-2001,2025-10-13,W-15,SALE,9,12.70,,,
M-2002,2025-10-14,W-05,SALE,16,45.34,,,
M-2007,2025-10-14,W-09,RECEIPT,48,19.80,Douro Trading,NV,
M-2009,2025-10-15,W-07,RECEIPT,36,36.58,TUSCAN VINES,2018,
M-2012,2025-10-16,W-29,SALE,24,23.76,,,
M-2014,2025-10-18,W-01,SALE,34,23.01,,,
M-2018,2025-10-18,W-11,SUPPLIER_RETURN,4,,,,M-1981
M-2021,2025-10-18,W-14,SUPPLIER_RETURN,6,,,,M-1880
M-2025,2025-10-19,W-24,SALE,16,38.82,,,
M-2026,2025-10-20,W-34,SALE,14,17.11,,,
M-2029,2025-10-20,W-35,SALE,1,18.01,,,
M-2034,2025-10-21,W-08,SALE,6,23.61,,,
M-2037,2025-10-22,W-10,SALE,11,23.32,,,
M-2040,2025-10-07,W-14,RECEIPT,48,19.26,Douro Trading,2021,
M-2041,2025-10-23,W-20,SALE,8,41.71,,,
M-2046,2025-10-24,W-19,SALE,18,46.98,,,
M-2048,2025-10-27,W-04,SALE,13,16.37,,,
M-2050,2025-10-27,W-22,SALE,14,76.03,,,
M-2055,2025-10-28,W-03,SALE,15,22.43,,,
M-2058,2025-10-28,W-17,SALE,6,23.80,,,
M-2061,2025-10-28,W-25,SALE,20,92.41,,,
M-2064,2025-10-30,W-23,SALE,41,46.86,,,
M-2067,2025-11-02,W-04,CUSTOMER_RETURN,3,,,,M-2048
M-2068,2025-11-02,W-16,SALE,9,18.43,,,
M-2073,2025-11-03,W-02,SALE,12,9.70,,,
M-2075,2025-11-03,W-21,SALE,18,32.60,,,
M-2077,2025-11-03,W-33,SUPPLIER_RETURN,6,,,,M-1895
M-2082,2025-10-07,W-23,RECEIPT,24,38.25,Rioja Direct,2021,
M-2084,2025-11-04,W-02,SALE,16,11.97,,,
M-2086,2025-11-05,W-13,SALE,28,10.91,,,
M-2089,2025-11-05,W-17,SALE,7,24.25,,,
M-2092,2025-11-08,W-20,CUSTOMER_RETURN,4,,,,M-1944
M-2097,2025-11-09,W-01,SALE,36,24.47,,,
M-2099,2025-11-09,W-11,SALE,5,26.85,,,
M-2102,2025-11-09,W-14,SALE,22,25.39,,,
M-2105,2025-11-10,W-07,SALE,19,50.37,,,
M-2109,2025-11-10,W-26,SALE,31,23.32,,,
M-2112,2025-11-11,W-30,SALE,7,74.74,,,
M-2114,2025-11-12,W-07,SALE,15,50.57,,,
M-2118,2025-11-12,W-29,SALE,30,24.89,,,
M-2120,2025-11-15,W-06,SALE,13,15.55,,,
M-2124,2025-11-15,W-12,SALE,6,59.50,,,
M-2125,2025-11-16,W-24,WRITE_OFF,3,,,,
M-2128,2025-11-18,W-06,CUSTOMER_RETURN,2,,,,M-1992
M-2132,2025-11-18,W-11,SALE,16,27.92,,,
M-2135,2025-11-19,W-27,SALE,5,32.02,,,
M-2138,2025-11-21,W-03,SALE,12,23.52,,,
M-2141,2025-11-21,W-35,SALE,6,17.61,,,
M-2143,2025-11-23,W-19,SUPPLIER_RETURN,5,,,,M-1995
M-2148,2025-11-24,W-04,SALE,16,15.86,,,
M-2149,2025-11-26,W-02,SALE,28,13.39,,,
M-2153,2025-11-27,W-21,SALE,18,35.26,,,
M-2155,2025-11-27,W-26,CUSTOMER_RETURN,1,,,,M-2109
M-2159,2025-11-28,W-05,SALE,20,47.90,,,
M-2162,2025-11-28,W-33,SALE,16,13.07,,,
M-2165,2025-12-03,W-28,SALE,22,32.12,,,
M-2167,2025-12-06,W-03,SALE,9,22.78,,,
M-2172,2025-12-07,W-30,SALE,15,76.01,,,
M-2175,2025-12-08,W-18,SALE,34,64.05,,,
M-2178,2025-12-10,W-02,SALE,26,14.17,,,
M-2181,2025-12-10,W-03,CUSTOMER_RETURN,4,,,,M-2138
M-2182,2025-12-10,W-09,SALE,24,25.74,,,
M-2185,2025-12-10,W-17,SALE,12,25.67,,,
M-2189,2025-12-11,W-29,SALE,19,25.92,,,
M-2191,2025-12-11,W-35,SALE,2,17.70,,,
M-2194,2025-12-12,W-33,SALE,14,12.54,,,
M-2199,2025-12-13,W-14,SALE,19,25.38,,,
M-2200,2025-12-13,W-21,CUSTOMER_RETURN,2,,,,M-2153
M-2204,2025-12-14,W-34,SALE,5,17.71,,,
M-2206,2025-12-16,W-14,CUSTOMER_RETURN,4,,,,M-2102
M-2210,2025-12-16,W-21,SALE,18,35.87,,,
